Código de Ubigeo,DISTRITOS,SIN EDUCACIÓN FORMAL,EDUCACIÓN ESPECIAL INCOMPLETA,EDUCACIÓN ESPECIAL COMPLETA,EDUCACIÓN PRIMARIA INCOMPLETA,EDUCACIÓN PRIMARIA COMPLETA,EDUCACIÓN SECUNDARIA INCOMPLETA,EDUCACIÓN SECUNDARIA COMPLETA,EDUCACIÓN TÉCNICA INCOMPLETA,EDUCACIÓN TÉCNICA COMPLETA,"EDUCACIÓN SUPERIOR (INSTITUTO SUPERIOR, ETC) INCOMPLETA","EDUCACIÓN SUPERIOR (INSTITUTO SUPERIOR, ETC) COMPLETA",EDUCACIÓN UNIVERSITARIA INCOMPLETA,EDUCACIÓN UNIVERSITARIA COMPLETA,GRADO DE BACHILLER,TITULADO,ESTUDIOS DE MAESTRÍA INCOMPLETA,ESTUDIOS DE MAESTRÍA COMPLETA,GRADO DE MAESTRÍA,ESTUDIOS DE DOCTORADO INCOMPLETO,ESTUDIOS DE DOCTORADO COMPLETO,GRADO DE DOCTOR,NO DETERMINADO
120121,HUAYUCACHI, - , - , - , - , 930 , 1 083 , 3 659 , 1 023 , 3 611 , 1 080 , 3 429 , 5 183 , 6 517 , 7 318 , 2 159 , - , - , - , - , - , - , 930 
120122,INGENIO, - , - , - , - , - , - , 3 143 , - , 3 835 , - , - , 1 023 , - , 3 175 , 930 , - , - , - , - , - , - , - 
120124,PARIAHUANCA  1/, - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 390 , - , - , - , - , - , - , - 
120125,PILCOMAYO, 3 200 , 1 800 , - , 908 , 3 212 , 2 810 , 3 362 , 3 821 , 3 824 , 3 268 , 4 308 , 4 446 , 3 942 , 3 703 , 4 744 , 930 , 1 828 , - , - , - , - , 2 790 
120126,PUCARA, - , - , - , - , - , - , - , 1 000 , 1 472 , - , - , - , - , - , - , - , - , - , - , - , - , - 
120127,QUICHUAY, 2 547 , - , - , 1 218 , 1 310 , 2 447 , 3 523 , - , 1 987 , 2 093 , 1 290 , 4 743 , 4 084 , 2 500 , - , - , - , - , - , - , - , - 
120128,QUILCAS, 2 063 , - , - , - , - , - , 1 116 , 938 , 1 443 , - , - , - , 981 , - , - , - , - , - , - , - , - , - 
120129,SAN AGUSTIN, 868 , - , 1 929 , 973 , 1 440 , 2 868 , 4 581 , 4 632 , 5 160 , 2 630 , 3 813 , 4 668 , 8 075 , 5 416 , 8 334 , 1 023 , - , - , - , - , - , 1 000 
120130,SAN JERONIMO DE TUNAN, 1 150 , - , 2 725 , - , - , 930 , 3 636 , 2 740 , 3 576 , 2 852 , 3 067 , 3 518 , 5 130 , 7 957 , 6 384 , - , 1 241 , - , - , - , - , 930 
120132,SAÑO, 894 , - , - , - , - , 930 , 1 704 , - , 2 125 , 2 023 , 930 , - , - , 930 , 2 790 , - , - , - , - , - , - , 930 
120133,SAPALLANGA, - , - , 1 023 , - , 2 551 , 4 118 , 3 312 , 2 396 , 3 723 , 2 584 , 1 928 , 3 360 , 4 436 , 4 748 , 7 258 , - , 1 952 , - , - , - , - , - 
120134,SICAYA, 930 , - , - , - , 1 420 , 2 823 , 4 434 , 3 880 , 5 027 , 4 053 , 6 626 , 4 483 , 8 036 , 5 155 , 6 933 , - , - , - , - , - , - , - 
120135,SANTO DOMINGO DE ACOBAMBA, - , - , - , - , - , - , 930 , - , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - 
120136,VIQUES, - , - , - , - , - , - , - , - , 1 023 , - , - , - , 1 023 , - , 1 023 , - , - , - , - , - , - , - 
120201,CONCEPCION, 2 030 , 930 , 1 291 , - , 3 000 , 1 010 , 3 562 , 2 925 , 3 386 , 3 187 , 4 264 , 3 856 , 4 002 , 4 260 , 5 120 , - , 3 575 , - , 3 000 , 1 023 , - , 2 546 
120202,ACO, - , - , - , - , - , - , - , - , - , - , 2 530 , - , - , - , - , - , - , - , - , - , - , - 
120204,CHAMBARA, - , - , - , - , - , - , 930 , - , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - 
120205,COCHAS, - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 500 , - , - , - , - , - , - , - 
120206,COMAS, 973 , - , 967 , - , 722 , 1 877 , 6 346 , - , 4 408 , 933 , 1 701 , - , 9 256 , - , 9 669 , - , - , - , - , - , - , - 
120207,HEROINAS TOLEDO, - , - , - , - , - , - , - , - , 1 300 , - , - , - , 3 648 , - , - , - , - , - , - , - , - , - 
120209,MARISCAL CASTILLA, - , - , - , - , - , - , 989 , - , - , - , - , 2 415 , 992 , 1 201 , - , - , - , - , - , - , - , 930 
120210,MATAHUASI, - , - , 1 023 , - , 1 369 , 1 625 , 7 248 , 1 023 , 3 560 , 1 891 , 2 017 , 1 293 , 1 113 , 3 670 , 1 762 , - , - , - , - , - , - , 930 
120211,MITO, - , - , - , - , 1 800 , 2 496 , 5 612 , 2 089 , 3 730 , 980 , 6 661 , 1 821 , 7 347 , 1 714 , 16 429 , - , - , - , - , - , - , - 
120212,NUEVE DE JULIO, - , - , - , - , 1 023 , - , 949 , - , 930 , - , - , 930 , 1 800 , - , - , - , - , - , - , - , - , - 
120213,ORCOTUNA, - , - , - , - , - , - , 2 126 , - , 930 , 930 , 2 585 , 930 , 1 784 , 930 , 930 , - , - , - , - , - , - , - 
120214,SAN JOSE DE QUERO, - , 6 756 , - , - , 2 170 , 1 435 , 5 193 , 4 205 , 7 375 , 7 839 , 600 , 4 705 , 22 406 , 8 508 , 16 104 , 12 371 , - , - , - , - , - , 930 
120215,SANTA ROSA DE OCOPA, - , - , - , - , - , 1 023 , 2 332 , - , 1 968 , - , - , 1 500 , 1 901 , 1 222 , 1 000 , - , - , - , - , - , - , - 
120301,CHANCHAMAYO, 2 269 , - , 1 044 , 2 599 , 3 249 , 3 144 , 3 796 , 3 459 , 4 039 , 3 570 , 6 028 , 5 165 , 5 594 , 8 763 , 6 827 , 1 965 , 10 266 , 2 587 , - , - , - , 2 883 
120302,PERENE, 2 773 , 930 , 2 341 , 3 293 , 3 463 , 3 493 , 5 012 , 3 457 , 4 401 , 2 772 , 2 462 , 4 799 , 4 708 , 4 762 , 9 815 , - , 1 591 , 3 186 , - , - , - , 1 478 
120303,PICHANAQUI, 2 775 , - , 1 546 , 3 132 , 3 467 , 3 346 , 3 476 , 4 283 , 4 301 , 3 633 , 6 821 , 4 108 , 6 369 , 8 663 , 8 799 , 14 289 , 5 976 , 2 282 , - , - , - , 1 863 
120304,SAN LUIS DE SHUARO, 973 , - , 1 209 , 2 638 , 3 459 , 2 773 , 3 317 , 2 264 , 4 517 , 2 520 , - , 3 977 , 12 609 , 4 258 , - , - , - , 6 384 , - , - , - , 977 
120305,SAN RAMON, 930 , 1 593 , 2 713 , 2 020 , 3 463 , 3 154 , 4 050 , 3 069 , 4 194 , 7 210 , 6 617 , 5 808 , 6 719 , 5 625 , 16 079 , - , 930 , 480 , - , 930 , - , 3 008 
120306,VITOC, 1 499 , - , - , - , - , 1 102 , 5 160 , 4 932 , 9 766 , - , 7 671 , 3 032 , 16 698 , 8 097 , 16 212 , 8 667 , - , - , - , - , - , - 
120401,JAUJA, 2 072 , - , - , 1 150 , 4 149 , 2 393 , 4 243 , 3 779 , 4 943 , 3 906 , 3 111 , 3 224 , 6 622 , 10 730 , 10 540 , 3 040 , 12 059 , - , - , - , - , 975 
120402,ACOLLA, - , - , - , - , 930 , - , 1 859 , 1 030 , 1 200 , 930 , - , 930 , 1 000 , - , 1 093 , - , - , - , - , - , - , - 
120403,APATA, - , - , - , 1 187 , 1 242 , 1 240 , 2 016 , 2 264 , 1 931 , 2 188 , 930 , 1 860 , 2 481 , - , 1 953 , - , - , - , - , - , - , - 
120404,ATAURA, - , - , - , - , - , - , 3 010 , - , 1 978 , - , - , - , 1 961 , 2 565 , - , - , - , 930 , - , - , - , - 
120405,CANCHAYLLO, - , - , - , 2 826 , 2 259 , 2 220 , 3 518 , 2 272 , 2 504 , - , 930 , 1 515 , 5 172 , - , - , 2 636 , - , - , - , - , - , - 
120406,CURICACA, - , - , - , 1 431 , 2 698 , 4 131 , 3 618 , 1 500 , 1 371 , 2 350 , 1 690 , - , 2 606 , 2 985 , 2 747 , - , - , 15 547 , - , - , - , 1 780 
120407,EL MANTARO, - , - , - , - , - , - , 936 , 930 , 1 860 , 930 , 1 023 , - , 1 000 , - , 1 000 , - , - , - , - , - , - , - 
120408,HUAMALI, - , - , - , - , - , 930 , 1 023 , - , 500 , - , - , 500 , - , - , - , - , - , - , - , - , - , - 
120409,HUARIPAMPA, - , - , - , - , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
120410,HUERTAS, - , - , - , - , - , 1 105 , 2 069 , - , 930 , - , - , 2 030 , - , 1 042 , - , - , - , - , - , - , - , - 
120412,JULCAN, - , - , - , - , - , - , 930 , 930 , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - 
120413,LEONOR ORDOÑEZ, - , - , - , - , - , - , 1 954 , 1 023 , 2 382 , 930 , - , - , - , - , 3 400 , - , - , - , - , - , - , 1 900 
120414,LLOCLLAPAMPA, - , - , - , - , 1 351 , 2 207 , 3 329 , 1 831 , 2 299 , 2 190 , - , 930 , 930 , 917 , 2 500 , - , - , - , - , - , - , - 
120415,MARCO, - , - , - , - , - , - , 997 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
120418,MOLINOS, - , - , - , - , - , - , 930 , - , - , - , 2 130 , 930 , - , - , 930 , - , - , - , - , - , - , - 
120420,MUQUI, - , - , - , - , - , - , - , - , - , - , - , 1 223 , - , - , - , - , - , - , - , - , - , - 
120421,MUQUIYAUYO, - , - , - , - , - , - , 2 742 , - , 1 806 , - , - , 930 , 2 093 , 930 , - , - , - , - , - , - , - , - 
120424,PANCAN, - , - , - , - , - , - , 3 432 , - , - , - , - , - , 1 274 , - , - , - , - , - , - , - , - , - 
120427,RICRAN, - , - , - , - , - , 963 , 2 269 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
120428,SAN LORENZO, 1 023 , - , - , 1 005 , 1 023 , 1 023 , 2 301 , - , 1 375 , - , - , - , - , - , - , - , - , - , - , - , - , 1 900 
120429,SAN PEDRO DE CHUNAN, - , - , - , - , - , - , - , - , - , - , - , - , 1 023 , - , - , - , - , - , - , - , - , - 
120430,SAUSA, - , - , - , - , - , 1 023 , 3 468 , 2 199 , 2 069 , 1 877 , 2 433 , 1 048 , 3 059 , 1 500 , 5 957 , - , - , - , - , - , - , - 
120431,SINCOS, 1 265 , - , - , - , - , - , 930 , - , 2 288 , 930 , 1 348 , - , - , 2 200 , 6 776 , - , - , - , - , - , - , - 
120432,TUNAN MARCA, - , - , - , - , - , - , 3 463 , - , 950 , - , - , 1 029 , - , - , - , - , - , - , - , - , - , - 
120434,YAUYOS, - , - , - , - , - , 888 , 3 376 , 1 895 , 3 190 , 970 , - , 1 860 , 814 , 1 500 , 1 427 , - , 930 , - , - , - , - , 3 359 
120501,JUNIN, 1 566 , - , - , 3 553 , 2 227 , 2 630 , 4 685 , 1 853 , 11 265 , 2 884 , 3 872 , 3 651 , 5 082 , 3 482 , 4 722 , - , - , - , - , - , - , 2 897 
120502,CARHUAMAYO, - , - , - , - , 2 033 , 1 214 , 3 535 , 1 012 , 3 517 , 934 , 2 988 , - , 2 145 , 1 023 , 7 140 , - , - , - , - , - , - , 1 860 
120504,ULCUMAYO, 1 589 , - , - , - , - , - , 1 428 , 4 119 , - , - , - , 2 942 , 907 , 1 500 , - , - , - , - , - , - , - , - 
120601,SATIPO, 3 342 , 930 , 2 790 , 4 773 , 3 261 , 3 907 , 3 485 , 3 246 , 4 014 , 3 622 , 6 165 , 5 534 , 5 716 , 6 328 , 8 198 , 930 , 3 941 , 5 108 , - , - , 1 568 , 2 914 
120602,COVIRIALI, - , - , - , - , 1 589 , 930 , 3 987 , 1 119 , 1 860 , 983 , - , 930 , 1 471 , - , 1 000 , - , - , - , - , - , - , - 
120603,LLAYLLA, 930 , 930 , - , 930 , 930 , - , 1 860 , 930 , 930 , 930 , - , 1 023 , 3 449 , - , 930 , - , - , - , - , - , - , - 
120604,MAZAMARI, 980 , - , - , - , 1 916 , 2 490 , 3 619 , 2 760 , 4 003 , 4 465 , 5 768 , 2 604 , 8 391 , 2 538 , 3 830 , 1 585 , 1 005 , - , - , - , - , 958 
120605,PAMPA HERMOSA, - , - , - , - , - , - , - , - , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - 
120606,PANGOA, 4 180 , 930 , 5 054 , 2 312 , 2 196 , 3 986 , 4 492 , 4 844 , 5 602 , 2 798 , 5 631 , 5 257 , 9 014 , 8 604 , 11 215 , - , - , 4 140 , - , - , - , 2 235 
120607,RIO NEGRO, 2 700 , 930 , 2 322 , 2 005 , 3 266 , 3 265 , 3 853 , 2 536 , 4 902 , 6 794 , 6 111 , 5 394 , 5 036 , 4 354 , 6 426 , - , 8 550 , 1 195 , - , - , - , 1 425 
120608,RIO TAMBO, - , - , - , 2 541 , 4 295 , 4 065 , 3 853 , 1 763 , 3 394 , 1 188 , 2 984 , - , 2 056 , - , 1 362 , - , - , - , - , - , - , 2 000 
120701,TARMA, 3 097 , 930 , - , 2 003 , 5 398 , 3 512 , 4 997 , 4 745 , 5 248 , 3 863 , 4 535 , 5 013 , 6 088 , 8 064 , 7 432 , - , 1 344 , 8 995 , - , - , - , 3 859 
120702,ACOBAMBA, 946 , - , - , - , 2 152 , 3 796 , 3 170 , 2 435 , 3 525 , 946 , 5 604 , 930 , 4 042 , 3 009 , 8 149 , - , - , - , - , - , - , 930 
120704,HUASAHUASI, - , - , - , - , - , - , 2 574 , 2 046 , 2 322 , - , - , - , 7 740 , - , - , - , - , - , - , - , - , - 
120705,LA UNION, 1 853 , - , 4 471 , - , 2 340 , 3 955 , 5 609 , 4 045 , 6 303 , 3 397 , 18 345 , 4 347 , 19 837 , 11 312 , 18 597 , - , - , 20 962 , - , - , - , - 
120706,PALCA, 930 , 1 784 , - , - , 1 023 , 2 080 , 3 459 , 930 , 3 129 , 2 193 , - , 2 180 , 1 558 , 1 491 , - , - , - , - , - , - , - , - 
120707,PALCAMAYO, - , - , - , - , 930 , - , 2 039 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
120708,SAN PEDRO DE CAJAS, 2 537 , - , - , 2 515 , 2 663 , 1 210 , 1 053 , 1 110 , 8 795 , 1 315 , 7 922 , - , 8 147 , 2 131 , - , - , - , - , - , - , - , - 
120709,TAPO, - , - , - , - , - , - , 2 321 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
120801,LA OROYA, 3 174 , - , 1 025 , 3 967 , 2 492 , 4 837 , 5 669 , 5 737 , 7 791 , 5 061 , 6 516 , 7 975 , 9 872 , 12 205 , 15 163 , 6 531 , 9 450 , 25 138 , - , - , 11 357 , 1 909 
120802,CHACAPALPA, - , - , - , 1 550 , - , 3 264 , 4 260 , - , 1 573 , - , 1 600 , - , 1 500 , 3 952 , 3 125 , - , - , - , - , - , - , - 
120803,HUAY-HUAY, - , 1 111 , 930 , - , 1 498 , 1 706 , 5 203 , 2 958 , 4 738 , 1 176 , - , 1 264 , 11 915 , 7 887 , 5 426 , - , - , - , - , - , - , 1 893 
120804,MARCAPOMACOCHA, 930 , - , - , 1 207 , 4 117 , 2 540 , 3 997 , 2 397 , 1 904 , 2 600 , 2 375 , - , 1 500 , - , 12 457 , - , - , 7 224 , - , - , - , 1 500 
120805,MOROCOCHA, 18 088 , - , 2 637 , 4 913 , 4 681 , 4 235 , 8 164 , 6 698 , 15 667 , 8 128 , 10 009 , 10 268 , 14 476 , 20 095 , 35 019 , 17 537 , 6 102 , 38 509 , - , - , 17 046 , 5 291 
120806,PACCHA, - , - , - , - , 930 , 1 215 , 4 106 , 2 800 , 5 192 , 1 805 , 930 , 2 830 , 1 713 , - , - , - , - , - , - , - , - , - 
120807,SANTA BARBARA DE CARHUACAYAN, - , 1 638 , 2 579 , - , 2 627 , 3 753 , 5 272 , 3 697 , 5 459 , 3 307 , 5 337 , 1 495 , 16 444 , 17 862 , 20 314 , - , - , - , - , - , - , 930 
120808,SANTA ROSA DE SACCO, 8 254 , 1 224 , 3 028 , 1 458 , 4 174 , 5 107 , 4 447 , 4 753 , 4 721 , 4 093 , 9 243 , 4 597 , 9 497 , 5 454 , 7 611 , - , 930 , - , - , - , - , 5 162 
120809,SUITUCANCHA, - , - , - , - , - , - , 1 867 , 1 023 , 930 , - , - , - , 6 000 , - , - , - , - , - , - , - , - , - 
120810,YAULI, 4 236 , - , 2 369 , 2 036 , 3 437 , 4 368 , 5 700 , 4 909 , 6 550 , 3 509 , 8 441 , 5 954 , 9 896 , 7 918 , 12 765 , - , - , - , - , - , - , 5 013 
120901,CHUPACA, 1 930 , 3 139 , 932 , 930 , 2 042 , 1 936 , 3 181 , 3 019 , 3 220 , 2 841 , 7 159 , 5 303 , 8 032 , 9 081 , 7 735 , 8 536 , 930 , 1 667 , - , 930 , - , 2 626 
120902,AHUAC, - , - , - , 1 622 , 1 293 , 1 293 , 3 085 , 1 088 , 2 510 , 1 050 , - , 1 060 , 2 637 , 2 287 , 3 500 , - , - , - , - , - , - , 1 026 
120903,CHONGOS BAJO, - , - , - , - , - , 760 , 2 905 , 1 000 , - , 1 013 , 2 037 , 465 , 1 000 , - , 3 566 , - , - , - , - , - , - , - 
120904,HUACHAC, 930 , - , - , - , - , - , - , - , 1 845 , - , - , 930 , 915 , - , - , - , - , - , - , - , - , 915 
120905,HUAMANCACA CHICO, 1 199 , - , - , - , - , - , 3 724 , 930 , 2 323 , 2 352 , 3 028 , 2 154 , 5 023 , 1 360 , 2 244 , - , - , - , - , - , - , 4 889 
120906,SAN JUAN DE ISCOS, - , - , - , - , - , - , - , - , - , - , - , - , - , 930 , - , - , - , - , - , - , - , - 
120908,TRES DE DICIEMBRE, 1 400 , - , - , - , - , - , 1 916 , - , 930 , 2 816 , 2 588 , 900 , - , - , - , - , - , - , - , - , - , - 
120909,YANACANCHA, - , - , - , - , 1 226 , 1 134 , 5 042 , 1 019 , 1 804 , - , - , - , 1 689 , - , - , - , - , - , - , - , - , - 
130101,TRUJILLO, 4 876 , 4 523 , 5 719 , 3 881 , 3 968 , 3 941 , 4 303 , 4 108 , 4 442 , 4 431 , 5 285 , 4 900 , 6 888 , 6 912 , 8 387 , 9 128 , 26 505 , 11 170 , 6 810 , 6 242 , 13 868 , 3 938 
130102,EL PORVENIR, 2 009 , 2 771 , 1 913 , 4 698 , 3 080 , 2 948 , 3 258 , 3 218 , 3 608 , 4 108 , 4 674 , 4 412 , 5 628 , 6 966 , 5 511 , 6 480 , 1 790 , 5 070 , - , - , - , 3 073 
130103,FLORENCIA DE MORA, 2 049 , - , 3 179 , 2 016 , 4 569 , 4 787 , 3 483 , 3 909 , 3 554 , 3 355 , 3 396 , 2 496 , 3 883 , 3 598 , 5 613 , - , 1 330 , 6 000 , - , 3 250 , - , 1 917 
130104,HUANCHACO, 3 415 , 4 232 , 1 203 , 3 631 , 4 071 , 4 043 , 4 196 , 4 522 , 4 461 , 4 260 , 4 760 , 5 566 , 6 996 , 6 397 , 7 481 , 4 779 , 9 672 , 9 103 , - , 1 405 , 930 , 4 991 
130105,LA ESPERANZA, 3 535 , 2 030 , 2 392 , 3 588 , 3 649 , 3 642 , 3 647 , 3 622 , 4 170 , 3 939 , 5 691 , 4 758 , 6 519 , 7 055 , 8 947 , 12 371 , 5 736 , 9 689 , - , 1 075 , - , 3 139 
130106,LAREDO, 5 317 , - , 2 129 , 4 713 , 4 614 , 4 861 , 3 901 , 4 337 , 4 591 , 8 898 , 5 823 , 4 194 , 7 930 , 10 490 , 25 210 , 14 290 , 18 734 , 44 058 , - , 1 391 , - , 2 673 
130107,MOCHE, 3 475 , 1 160 , 3 707 , 3 338 , 3 756 , 3 772 , 4 156 , 5 003 , 5 659 , 5 060 , 6 549 , 6 050 , 9 453 , 8 523 , 12 489 , 1 044 , 13 483 , 7 628 , 930 , 14 518 , 4 396 , 6 270 
130108,POROTO, 1 584 , - , - , 1 958 , 3 606 , 3 530 , 5 057 , 2 746 , 3 972 , - , - , 930 , 4 827 , 3 293 , 10 971 , - , - , - , - , - , - , - 
130109,SALAVERRY, 6 333 , - , 4 736 , 3 878 , 3 946 , 4 049 , 4 421 , 4 379 , 6 577 , 6 095 , 10 370 , 7 554 , 15 438 , 9 319 , 16 650 , - , 23 924 , 35 180 , - , - , - , 2 924 
130110,SIMBAL, 3 196 , - , 930 , 2 991 , 3 188 , 2 005 , 3 201 , 2 526 , 3 067 , - , 2 066 , 3 807 , 8 218 , - , 8 178 , 1 200 , - , - , - , - , - , - 
130111,VICTOR LARCO HERRERA, 32 724 , 2 424 , 4 769 , 4 073 , 4 135 , 4 050 , 4 401 , 4 019 , 4 773 , 4 138 , 6 807 , 5 067 , 7 745 , 6 329 , 7 603 , 6 379 , 13 222 , 10 120 , 4 113 , 10 581 , 16 121 , 3 893 
130201,ASCOPE, - , - , - , 1 493 , 1 460 , 1 604 , 3 680 , 3 706 , 3 265 , 3 252 , 1 435 , 1 970 , 3 118 , 1 622 , 5 174 , - , 5 725 , - , - , - , - , 750 
130202,CHICAMA, 1 047 , - , 2 664 , 3 403 , 3 195 , 3 345 , 3 440 , 3 024 , 4 621 , 2 752 , 3 263 , 3 771 , 6 758 , 4 102 , 7 484 , - , 2 000 , 4 602 , - , - , - , 2 454 
130203,CHOCOPE, 1 573 , - , - , 1 860 , 1 890 , 2 144 , 4 247 , 3 680 , 3 943 , 4 611 , 4 931 , 4 761 , 7 659 , 5 700 , 7 840 , - , - , 1 583 , - , - , - , 1 699 
130204,MAGDALENA DE CAO, 898 , - , - , 1 885 , 1 180 , 2 204 , 3 529 , 3 912 , 4 662 , 7 093 , 3 616 , 1 965 , 7 119 , 7 110 , 4 667 , - , - , 8 657 , - , - , - , - 
130205,PAIJAN, 1 837 , 1 639 , 2 075 , 3 383 , 3 757 , 3 555 , 3 931 , 3 493 , 4 151 , 2 584 , 4 328 , 4 227 , 7 148 , 6 509 , 4 679 , - , - , - , - , - , - , 2 063 
130206,RAZURI, 3 597 , 943 , 6 075 , 3 218 , 3 602 , 4 437 , 5 511 , 6 156 , 6 727 , 6 885 , 7 358 , 7 237 , 12 012 , 11 780 , 11 030 , 6 497 , 9 836 , 5 388 , - , - , - , 4 220 
130207,SANTIAGO DE CAO, 2 232 , - , 1 659 , 2 381 , 2 401 , 2 441 , 4 183 , 3 559 , 5 552 , 2 589 , 6 215 , 5 000 , 10 275 , 5 320 , 12 371 , 3 037 , 16 356 , 44 762 , - , 500 , - , 1 771 
130208,CASA GRANDE, 2 308 , 1 900 , 3 123 , 4 167 , 5 487 , 5 104 , 4 272 , 4 436 , 5 298 , 6 253 , 5 135 , 6 472 , 13 051 , 8 074 , 14 813 , - , 41 989 , 40 126 , - , 42 978 , 10 602 , 3 672 
130301,BOLIVAR, - , - , - , - , - , 2 839 , 3 029 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
130302,BAMBAMARCA, 2 863 , - , - , 2 747 , - , 5 066 , 9 402 , 2 599 , 4 481 , 4 126 , - , - , 4 855 , - , 5 934 , - , - , - , - , - , - , 3 164 
130303,CONDORMARCA /1, - , - , - , - , - , - , 2 542 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
130304,LONGOTEA, - , - , - , - , 930 , - , 2 702 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
130306,UCUNCHA, - , - , - , - , - , - , 2 697 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
130401,CHEPEN, 3 910 , 1 860 , 1 758 , 4 064 , 3 750 , 3 806 , 3 580 , 3 963 , 4 429 , 3 737 , 4 514 , 4 529 , 5 850 , 8 217 , 8 126 , - , 6 787 , 4 888 , - , - , 4 348 , 3 896 
130402,PACANGA, 4 830 , 2 755 , 2 571 , 3 287 , 3 262 , 3 292 , 3 465 , 3 235 , 4 252 , 3 646 , 4 498 , 3 420 , 10 612 , 7 900 , 21 536 , - , 18 298 , 41 782 , - , - , - , 3 914 
130403,PUEBLO NUEVO, - , - , - , 1 712 , 3 618 , 1 071 , 3 684 , 3 017 , 2 758 , 4 783 , 4 022 , 4 654 , 8 099 , 6 728 , 5 257 , - , - , 1 901 , - , - , - , 930 
130501,JULCAN, - , - , - , 938 , 2 130 , - , 3 353 , 1 907 , 930 , - , - , 1 548 , 8 985 , - , 1 500 , 1 500 , - , - , - , - , - , - 
130502,CALAMARCA, - , - , - , - , - , - , 1 957 , - , 1 319 , - , 2 050 , - , - , - , - , - , - , - , - , - , - , - 
130504,HUASO, - , - , - , - , - , - , 1 930 , - , - , - , - , - , 2 533 , - , - , - , - , - , - , - , - , - 
130601,OTUZCO, 4 693 , - , 921 , 1 527 , 2 785 , 3 397 , 3 944 , 4 479 , 4 151 , 4 225 , 6 245 , 4 639 , 6 330 , 6 412 , 3 287 , - , - , - , - , - , - , 1 949 
130602,AGALLPAMPA, - , - , - , - , 1 994 , 858 , 3 888 , 1 500 , - , - , - , 930 , 1 038 , - , - , - , - , - , - , - , - , - 
130604,CHARAT, - , - , - , - , - , - , - , - , 1 719 , - , - , - , - , - , - , - , - , - , - , - , - , - 
130605,HUARANCHAL, 930 , - , - , 1 841 , 5 212 , 2 526 , 5 091 , 2 216 , 5 086 , 2 971 , 3 333 , 5 314 , 8 850 , 8 295 , 8 276 , 9 818 , - , 3 741 , - , - , - , - 
130606,LA CUESTA, - , - , - , - , - , - , - , - , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - 
130611,SALPO, - , - , - , 2 161 , 1 130 , 4 483 , 9 759 , 1 313 , 3 143 , - , - , 930 , - , - , 10 313 , - , - , - , - , - , - , - 
130613,SINSICAP, - , - , - , 1 534 , 1 646 , - , 5 625 , - , 4 210 , 4 330 , 3 413 , 465 , 11 857 , - , 15 067 , - , - , - , - , - , - , - 
130614,USQUIL, - , 1 719 , - , 1 432 , 1 181 , 3 275 , 3 915 , 7 600 , 4 931 , 4 023 , - , 7 008 , 3 574 , - , 4 000 , - , - , - , - , - , - , 930 
130701,SAN PEDRO DE LLOC, 1 651 , - , - , 3 559 , 2 291 , 3 354 , 3 539 , 3 702 , 5 124 , 4 482 , 2 561 , 2 360 , 5 511 , 4 461 , 30 461 , - , 930 , - , - , - , - , 1 932 
130702,GUADALUPE, 2 098 , 930 , 1 946 , 3 315 , 3 327 , 2 470 , 3 746 , 4 502 , 3 979 , 4 484 , 4 147 , 4 115 , 5 246 , 6 796 , 6 913 , - , 2 808 , - , 1 500 , - , - , 3 172 
130703,JEQUETEPEQUE, 1 091 , - , - , 1 211 , 1 954 , 2 450 , 4 110 , 1 271 , 2 438 , 2 348 , 2 058 , 2 825 , 5 482 , 14 215 , 6 149 , - , - , - , - , - , - , 465 
130704,PACASMAYO, 1 647 , 966 , 2 895 , 2 723 , 3 045 , 4 264 , 5 162 , 3 927 , 4 074 , 4 270 , 8 587 , 4 373 , 11 629 , 9 840 , 8 524 , - , 16 213 , 57 438 , - , - , - , 2 347 
130705,SAN JOSE, 2 687 , - , - , 1 071 , 2 152 , 3 629 , 4 218 , 3 243 , 3 887 , 3 644 , 4 617 , 2 470 , 7 698 , 3 791 , 4 203 , - , 9 093 , - , - , - , - , - 
130801,TAYABAMBA, 2 992 , - , - , 1 239 , 2 598 , 2 457 , 4 548 , 3 258 , 3 595 , 1 632 , 5 391 , 3 978 , 2 937 , 5 288 , 6 113 , - , - , - , - , - , - , 1 620 
130802,BULDIBUYO, - , - , - , - , 3 250 , 1 391 , 4 817 , 2 888 , 2 636 , 1 974 , - , 2 316 , 9 558 , - , 14 126 , - , - , - , - , - , - , 2 093 
